Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.0%,,,Serbia,,,13728,"$6,082,791,506",7.4%,$51,,1.1%,,6.3%,75,70,,1,20.2%,66.9%,12.9%,7516346,53.2%,Europe,,,12/1/2000
1.0%,,37312,Slovak Republic,,,17743,"$28,724,041,828",5.5%,$208,,1.0%,0.1,14.9%,77,69,0.2,1,19.7%,68.9%,11.4%,5388720,56.2%,Europe,"$441,000,000","$341,000,000",12/1/2000
0.9%,,14265,Slovenia,,,6413,"$19,979,467,790",8.3%,$831,,0.5%,0.2,15.8%,79,72,0.6,1,15.9%,70.0%,14.1%,1988925,50.8%,Europe,"$1,016,000,000","$544,000,000",12/1/2000
1.0%,,294434,Spain,,,121856,"$580,345,494,748",7.2%,"$1,045",,0.5%,0.1,5.2%,83,76,0.6,1,14.8%,68.4%,16.9%,40263216,76.3%,Europe,"$32,656,000,000","$7,710,000,000",12/1/2000
1.0%,,49794,Sweden,,,47556,"$247,260,155,858",8.2%,"$2,282",,0.3%,0.5,5.8%,82,77,0.7,1,18.4%,64.3%,17.3%,8872109,84.0%,Europe,"$4,825,000,000","$8,959,000,000",12/1/2000
1.1%,,39050,Switzerland,,,25005,"$256,042,925,982",9.9%,"$3,541",,0.5%,0.5,4.3%,83,77,0.6,1,17.4%,67.3%,15.3%,7184250,73.3%,Europe,"$8,988,000,000","$7,360,000,000",12/1/2000
2.1%,,216148,Turkey,,,76348,"$266,567,532,726",4.9%,$196,,3.4%,0.0,,74,66,0.3,1,30.7%,63.4%,6.0%,63174483,64.7%,Europe,"$7,636,000,000","$1,713,000,000",12/1/2000
0.8%,,320774,Ukraine,,,133794,"$31,261,527,363",5.6%,$36,,1.6%,0.0,41.5%,74,62,0.0,1,17.5%,68.8%,13.8%,49175848,67.1%,Europe,"$563,000,000","$561,000,000",12/1/2000
1.2%,,543662,United Kingdom,,,222940,"$1,493,628,385,535",7.0%,"$1,761",,0.6%,0.3,6.0%,80,75,0.7,1,19.0%,65.2%,15.8%,58892514,78.7%,Europe,"$29,978,000,000","$47,009,000,000",12/1/2000
2.1%,,18643,Bahrain,,,5865,"$9,063,147,901",3.5%,$476,,1.1%,0.1,11.6%,76,74,0.3,1,30.8%,66.7%,2.4%,668239,88.4%,Middle East,"$854,000,000","$425,000,000",12/1/2000
1.9%,,372703,"Iran, Islamic Rep.",,,122983,"$101,286,514,977",4.6%,$231,,2.9%,0.0,,71,69,0.0,1,34.7%,61.1%,4.2%,65911052,64.0%,Middle East,"$677,000,000","$671,000,000",12/1/2000
3.6%,,72445,Iraq,,,25937,,0.8%,$7,,3.6%,,,73,69,,1,42.8%,53.7%,3.5%,23801156,68.5%,Middle East,"$2,000,000","$9,000,000",12/1/2000
2.2%,,62691,Israel,,,18234,"$124,895,151,203",7.4%,"$1,454",,0.6%,0.2,12.8%,81,77,0.7,1,28.1%,61.9%,10.0%,6289000,91.2%,Middle East,"$4,611,000,000","$3,733,000,000",12/1/2000
3.1%,,15508,Jordan,,,4864,"$8,457,923,945",9.7%,$171,,2.3%,0.0,11.8%,73,70,0.1,1,39.4%,57.5%,3.1%,4797000,79.8%,Middle East,"$935,000,000","$387,000,000",12/1/2000
2.4%,,55181,Kuwait,,,18805,"$37,718,011,469",2.5%,$494,,1.1%,0.1,8.9%,74,72,0.3,1,25.7%,71.2%,3.1%,1906231,98.1%,Middle East,"$394,000,000","$2,852,000,000",12/1/2000
1.9%,,15354,Lebanon,,,4907,"$17,260,364,842",10.9%,$579,,1.7%,0.1,18.2%,76,73,0.2,1,28.6%,64.3%,7.1%,3235380,86.0%,Middle East,"$742,000,000",,12/1/2000
2.4%,,21896,Oman,,,8083,"$19,867,880,550",3.1%,$264,,1.4%,0.0,10.1%,74,70,0.1,1,37.2%,60.5%,2.3%,2192535,71.6%,Middle East,"$377,000,000","$629,000,000",12/1/2000
1.9%,,34730,Qatar,,,10876,"$17,759,889,598",2.2%,$652,,1.1%,0.0,,78,76,0.2,1,25.9%,72.4%,1.7%,593693,96.3%,Middle East,"$128,000,000","$307,000,000",12/1/2000
2.7%,,296935,Saudi Arabia,,,101325,"$188,441,864,875",4.2%,$398,,1.9%,0.0,,74,71,0.1,1,38.4%,58.1%,3.5%,20144584,79.8%,Middle East,,,12/1/2000
3.0%,,51048,Syrian Arab Republic,,,15765,"$19,325,894,913",4.9%,$59,,2.0%,0.0,9.0%,75,72,0.0,1,40.8%,55.8%,3.4%,16371208,51.9%,Middle East,"$1,082,000,000","$669,000,000",12/1/2000
1.7%,,112562,United Arab Emirates,,,33944,"$104,337,375,343",2.2%,$752,,1.0%,0.2,9.7%,75,73,0.5,1,25.4%,73.6%,1.0%,3026352,80.2%,Middle East,"$1,063,000,000","$3,019,000,000",12/1/2000
3.9%,,14639,"Yemen, Rep.",,,4747,"$9,636,342,275",4.1%,$25,,6.9%,0.0,19.5%,62,59,0.0,1,48.6%,48.5%,2.9%,17522537,26.3%,Middle East,"$73,000,000","$127,000,000",12/1/2000
,,,American Samoa,,,,,,,,,,,,,0.0,1,,,,57522,88.6%,Oceania,,,12/1/2000
1.3%,,329605,Australia,,,108110,"$415,208,189,412",8.1%,"$1,713",,0.5%,0.5,9.3%,82,77,0.4,1,20.7%,66.9%,12.4%,19153000,87.2%,Oceania,"$13,016,000,000","$8,780,000,000",12/1/2000
2.5%,,865,Fiji,,,,"$1,684,109,743",3.9%,$80,,2.1%,0.0,8.4%,70,65,0.1,1,35.1%,61.5%,3.4%,811647,47.9%,Oceania,"$291,000,000","$96,000,000",12/1/2000
2.0%,,631,French Polynesia,,,,"$3,447,543,138",,,,,0.1,,75,70,0.2,1,31.8%,64.0%,4.3%,237267,56.1%,Oceania,,,12/1/2000
2.2%,,,Guam,,,,,,,,,0.2,,78,73,0.2,1,30.5%,64.2%,5.4%,155328,93.1%,Oceania,,,12/1/2000
2.9%,,33,Kiribati,,,,"$67,512,715",7.9%,$65,,5.4%,0.0,,68,62,0.0,1,39.9%,56.7%,3.4%,82788,43.0%,Oceania,"$2,700,000",,12/1/2000
,,77,Marshall Islands,,,,"$110,937,729",22.5%,$466,,3.4%,0.0,,68,63,0.0,1,,,,52161,68.4%,Oceania,"$3,000,000","$200,000",12/1/2000
3.0%,,136,"Micronesia, Fed. Sts.",,,,"$233,226,323",7.8%,$170,,4.2%,0.0,15.3%,68,67,,1,40.3%,56.0%,3.7%,107430,22.3%,Oceania,"$17,000,000","$5,000,000",12/1/2000
2.1%,,2299,New Caledonia,,,,"$2,682,347,064",,,,,0.1,,78,72,0.2,1,28.7%,65.4%,5.9%,213230,61.8%,Oceania,"$111,000,000",,12/1/2000
1.5%,,32897,New Zealand,,,17056,"$52,011,621,745",7.6%,"$1,052",,0.6%,0.5,7.8%,81,76,0.4,1,22.7%,65.5%,11.8%,3857700,85.7%,Oceania,"$2,272,000,000","$1,235,000,000",12/1/2000
3.5%,,2688,Papua New Guinea,,,,"$3,521,348,155",4.0%,$26,,5.8%,0.0,17.5%,61,57,0.0,1,40.2%,57.3%,2.5%,5379226,13.2%,Oceania,"$7,000,000","$50,000,000",12/1/2000
3.1%,,139,Samoa,,,,"$239,698,992",6.0%,$80,,1.9%,0.0,,73,66,0.0,1,40.7%,54.8%,4.5%,174614,22.0%,Oceania,"$41,000,000",,12/1/2000
3.6%,,165,Solomon Islands,,,,"$435,101,217",4.6%,$48,,2.8%,0.0,14.6%,64,62,0.0,1,41.9%,55.3%,2.8%,412336,15.8%,Oceania,"$4,000,000","$12,200,000",12/1/2000
2.8%,,121,Tonga,,,,"$188,623,258",4.8%,$92,,1.5%,0.0,11.3%,73,69,0.0,1,38.4%,55.9%,5.7%,97962,23.0%,Oceania,"$7,000,000",,12/1/2000
3.2%,,81,Vanuatu,,,,"$272,014,693",3.6%,$52,,2.0%,0.0,9.9%,69,66,0.0,1,41.5%,55.2%,3.3%,185058,21.7%,Oceania,"$69,000,000","$9,000,000",12/1/2000
2.0%,,345,Antigua and Barbuda,,,,"$787,693,391",4.0%,$408,,1.4%,0.1,12.2%,76,71,0.3,1,29.2%,63.7%,7.1%,77648,32.1%,The Americas,"$291,000,000","$31,000,000",12/1/2000
1.9%,,141077,Argentina,,,60954,"$344,272,910,000",9.2%,$710,,1.8%,0.1,11.1%,78,70,0.2,1,27.9%,62.1%,9.9%,36903067,89.1%,The Americas,"$3,195,000,000","$5,460,000,000",12/1/2000
1.4%,,2233,Aruba,,,,"$1,873,452,514",,,,,0.2,12.1%,76,71,0.2,1,23.2%,69.2%,7.6%,90858,46.7%,The Americas,"$850,000,000","$163,000,000",12/1/2000
1.8%,,1668,"Bahamas, The",,,,"$6,327,552,000",5.2%,"$1,107",,1.3%,0.1,6.0%,75,69,0.1,1,29.3%,65.4%,5.4%,297759,82.0%,The Americas,"$1,753,000,000","$348,000,000",12/1/2000
1.3%,,1188,Barbados,,,,"$3,119,500,000",6.3%,$602,,1.5%,0.0,10.2%,75,71,0.1,1,21.9%,66.6%,11.5%,267190,33.8%,The Americas,"$733,000,000","$141,000,000",12/1/2000
2.9%,,689,Belize,,,,"$831,750,000",4.0%,$139,,2.1%,0.1,16.0%,74,67,0.1,1,40.2%,55.5%,4.3%,238586,47.7%,The Americas,"$111,000,000","$44,000,000",12/1/2000
1.4%,,495,Bermuda,,,,"$3,480,219,000",,,,,0.4,,81,75,0.2,1,,,,61833,100.0%,The Americas,"$431,000,000",,12/1/2000
3.1%,,10224,Bolivia,,,3737,"$8,397,858,185",6.1%,$60,,5.7%,0.0,34.6%,65,61,0.1,1,39.8%,56.0%,4.2%,8495271,61.8%,The Americas,"$101,000,000","$116,000,000",12/1/2000
2.1%,,327984,Brazil,,,187442,"$644,701,831,101",7.2%,$265,,2.9%,0.0,56.8%,74,67,0.1,1,29.6%,64.9%,5.5%,174504898,81.2%,The Americas,"$1,969,000,000","$4,548,000,000",12/1/2000
1.1%,,534484,Canada,,,251450,"$739,455,928,894",8.8%,"$2,090",,0.5%,0.5,7.3%,82,77,0.3,1,19.2%,68.3%,12.5%,30769700,79.5%,The Americas,"$13,035,000,000","$15,125,000,000",12/1/2000
,,455,Cayman Islands,,,,,,,,,,,,,0.3,1,,,,41685,100.0%,The Americas,"$559,000,000",,12/1/2000
1.7%,,58694,Chile,,,25174,"$79,328,640,264",7.7%,$390,,0.9%,0.2,14.8%,80,74,0.2,1,27.8%,65.0%,7.2%,15454402,86.1%,The Americas,"$1,179,000,000","$904,000,000",12/1/2000
2.3%,,57924,Colombia,,,25814,"$99,886,577,576",5.9%,$148,,2.1%,0.0,18.8%,75,67,0.1,1,32.8%,62.4%,4.7%,39897984,72.1%,The Americas,"$1,313,000,000","$1,452,000,000",12/1/2000
2.0%,,5475,Costa Rica,,,2874,"$15,946,443,103",7.1%,$287,,1.1%,0.1,24.9%,80,75,0.1,1,31.5%,63.1%,5.5%,3929588,59.0%,The Americas,"$1,477,000,000","$551,000,000",12/1/2000
1.3%,,26039,Cuba,,,12859,"$30,565,200,000",6.1%,$166,,0.7%,0.0,,79,75,0.0,1,21.6%,68.5%,9.9%,11138416,75.3%,The Americas,"$1,948,000,000",,12/1/2000
,,,Curacao,,,,,,,,,,,,,,1,24.9%,64.8%,10.3%,133860,90.8%,The Americas,"$227,000,000",,12/1/2000
,,103,Dominica,,,,"$324,463,833",5.0%,$231,,1.4%,0.1,11.7%,,,0.0,1,,,,69679,65.3%,The Americas,"$48,000,000","$9,000,000",12/1/2000
2.5%,,20117,Dominican Republic,,,7499,"$23,996,656,676",6.3%,$173,,3.3%,0.0,26.8%,74,68,0.1,1,34.9%,59.9%,5.1%,8663421,61.7%,The Americas,"$2,860,000,000","$440,000,000",12/1/2000
2.5%,,20942,Ecuador,,,7815,"$18,327,386,416",3.6%,$53,,2.8%,0.0,17.1%,76,71,0.0,1,34.5%,60.4%,5.1%,12533087,60.3%,The Americas,"$451,000,000","$416,000,000",12/1/2000
2.5%,,5743,El Salvador,,,3968,"$13,134,100,000",8.1%,$179,,2.7%,0.0,14.0%,74,65,0.1,1,38.3%,56.2%,5.5%,5958794,58.9%,The Americas,"$437,000,000","$219,000,000",12/1/2000
1.6%,,532,Greenland,,,,"$1,068,024,994",,,,,0.3,,70,64,0.3,1,,,,56200,81.6%,The Americas,,,12/1/2000
1.9%,,191,Grenada,,,,"$523,256,355",6.6%,$339,,1.4%,0.0,11.6%,73,68,0.0,1,35.0%,57.2%,7.8%,101620,35.9%,The Americas,"$93,000,000","$8,000,000",12/1/2000
3.7%,,9916,Guatemala,,,7041,"$19,290,566,570",5.6%,$96,,4.0%,0.0,20.9%,71,64,0.1,1,44.1%,51.9%,4.0%,11204183,45.1%,The Americas,"$498,000,000","$216,000,000",12/1/2000
2.2%,,1610,Guyana,,,,"$712,667,925",5.8%,$56,,3.9%,0.1,17.3%,67,60,0.1,1,35.4%,60.2%,4.5%,744471,28.7%,The Americas,"$80,000,000","$77,000,000",12/1/2000
3.1%,,1368,Haiti,,,2010,"$3,664,503,846",6.1%,$26,,7.5%,0.0,31.4%,59,56,0.0,1,40.3%,55.7%,4.0%,8578234,35.6%,The Americas,"$128,000,000","$173,000,000",12/1/2000
3.2%,,5031,Honduras,,,2990,"$7,105,529,647",6.6%,$76,,3.1%,0.0,26.8%,73,68,0.0,1,42.4%,53.7%,3.9%,6235561,45.5%,The Americas,"$263,000,000","$198,000,000",12/1/2000
2.1%,,10319,Jamaica,,,3829,"$9,008,629,729",5.5%,$189,,2.0%,0.0,23.3%,73,68,0.1,1,32.7%,59.9%,7.5%,2589389,51.8%,The Americas,"$1,577,000,000","$238,000,000",12/1/2000
2.4%,,381518,Mexico,,,145384,"$683,647,980,782",5.1%,$328,,2.2%,0.1,16.9%,77,72,0.1,1,34.1%,61.0%,4.9%,103873607,74.7%,The Americas,"$9,133,000,000","$6,365,000,000",12/1/2000
2.8%,,3762,Nicaragua,,,2522,"$5,107,329,010",5.4%,$54,,3.3%,0.0,18.1%,72,67,0.0,1,40.9%,55.4%,3.7%,5100920,54.7%,The Americas,"$129,000,000","$126,000,000",12/1/2000
2.4%,,5790,Panama,,,2569,"$11,620,500,000",7.8%,$295,,2.2%,0.1,10.5%,78,73,0.1,1,32.1%,62.3%,5.5%,3054812,62.2%,The Americas,"$628,000,000","$241,000,000",12/1/2000
2.8%,,3689,Paraguay,,,3850,"$8,195,993,231",8.1%,$124,,2.8%,0.0,26.8%,72,68,0.2,1,38.2%,57.4%,4.4%,5350253,55.3%,The Americas,"$88,000,000","$154,000,000",12/1/2000
2.4%,,30297,Peru,,,12222,"$50,681,123,109",4.7%,$96,,3.0%,0.0,30.0%,73,68,0.0,1,34.1%,61.1%,4.8%,26000080,73.0%,The Americas,"$861,000,000","$641,000,000",12/1/2000
1.6%,,,Puerto Rico,,,,"$61,701,810,000",,,,,0.1,,81,73,0.3,1,23.6%,65.1%,11.3%,3810605,94.4%,The Americas,"$2,388,000,000","$1,333,000,000",12/1/2000
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,30519,100.0%,The Americas,"$511,000,000","$127,000,000",12/1/2000
,,103,St. Kitts and Nevis,,,,"$416,566,954",4.3%,$392,,1.4%,0.1,11.1%,,,0.0,1,,,,45544,32.8%,The Americas,"$58,000,000","$9,000,000",12/1/2000
2.0%,,330,St. Lucia,,,,"$764,457,723",5.6%,$272,,1.5%,0.1,13.1%,73,70,0.0,1,32.2%,60.2%,7.6%,156949,27.8%,The Americas,"$281,000,000","$33,000,000",12/1/2000
1.7%,,,St. Martin (French part),,,,,,,,,,,80,74,,1,,,,28384,,The Americas,,,12/1/2000
2.0%,,158,St. Vincent and the Grenadines,,,,"$397,447,007",3.7%,$137,,1.9%,0.0,11.5%,73,68,0.0,1,31.4%,61.6%,6.9%,107897,45.2%,The Americas,"$82,000,000","$10,000,000",12/1/2000
2.3%,,2127,Suriname,,,,"$892,164,364",8.7%,$167,,3.0%,0.0,29.0%,71,65,0.1,1,30.6%,63.7%,5.7%,466668,66.4%,The Americas,"$42,000,000","$67,000,000",12/1/2000
1.5%,,24514,Trinidad and Tobago,,,10854,"$8,154,315,708",4.0%,$260,,2.5%,0.1,16.5%,72,65,0.1,1,25.6%,67.9%,6.5%,1267980,10.8%,The Americas,"$371,000,000","$190,000,000",12/1/2000
,,15,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,18876,84.6%,The Americas,"$285,000,000",,12/1/2000
1.4%,,5713560,United States,,,2273332,"$10,289,700,000,000",13.6%,"$4,790",,0.7%,0.4,9.2%,79,74,0.4,1,21.3%,66.3%,12.4%,282162411,79.1%,The Americas,"$120,912,000,000","$91,473,000,000",12/1/2000
1.6%,,5306,Uruguay,,,3092,"$22,823,255,806",11.2%,$773,,1.5%,0.1,46.1%,78,71,0.1,1,24.6%,62.4%,13.1%,3320841,92.0%,The Americas,"$827,000,000","$381,000,000",12/1/2000
2.4%,,152415,"Venezuela, RB",,,56424,"$117,147,614,566",5.7%,$273,,1.8%,0.0,25.2%,75,70,0.2,1,33.7%,61.7%,4.6%,24407553,88.0%,The Americas,"$469,000,000","$1,647,000,000",12/1/2000
1.4%,,,Virgin Islands (U.S.),,,,,,,,,0.1,,80,73,0.3,1,25.9%,65.5%,8.6%,108639,92.6%,The Americas,"$1,206,000,000",,12/1/2000
1.9%,,84293,Algeria,,,27072,"$54,744,716,706",3.8%,$65,,3.3%,0.0,9.5%,71,68,0.0,1,33.0%,63.0%,4.0%,32150198,60.7%,Africa,"$100,000,000","$194,000,000",12/1/2001
5.0%,,9732,Angola,,,7883,"$8,936,079,253",5.8%,$36,,12.7%,0.0,96.0%,47,45,0.0,1,47.7%,49.9%,2.5%,14385283,33.2%,Africa,"$35,000,000","$80,000,000",12/1/2001
4.2%,,1738,Benin,,,2109,"$2,499,269,391",4.7%,$16,,8.8%,0.0,,57,54,0.0,1,45.3%,51.8%,2.9%,7174911,38.7%,Africa,"$86,000,000","$48,000,000",12/1/2001
2.7%,,4334,Botswana,,,1868,"$5,489,646,903",5.2%,$175,,5.4%,0.0,15.8%,51,48,0.2,1,37.7%,59.3%,3.0%,1783349,54.1%,Africa,"$235,000,000","$215,000,000",12/1/2001
4.6%,,997,Burkina Faso,,,,"$2,812,845,486",4.9%,$12,,9.5%,0.0,,52,50,0.0,1,46.7%,50.6%,2.7%,11946080,18.5%,Africa,"$25,000,000","$35,000,000",12/1/2001
4.2%,,216,Burundi,,,,"$876,794,723",6.8%,$7,,8.9%,0.0,16.8%,50,47,0.0,1,48.4%,48.7%,2.9%,6839376,8.5%,Africa,"$900,000","$12,000,000",12/1/2001
4.1%,,3421,Cameroon,,,6384,"$9,633,109,257",4.7%,$27,,9.0%,0.0,20.7%,53,51,0.0,1,45.1%,51.5%,3.4%,16350440,46.1%,Africa,"$182,000,000","$199,000,000",12/1/2001
3.9%,,246,Central African Republic,,,,"$931,833,294",4.0%,$10,,11.3%,0.0,20.7%,45,42,0.0,1,42.2%,53.8%,4.0%,3704045,37.7%,Africa,"$5,000,000","$29,000,000",12/1/2001
5.1%,,172,Chad,,,,"$1,709,347,777",6.0%,$12,,10.5%,0.0,20.7%,48,46,0.0,1,49.1%,48.1%,2.8%,8620917,21.7%,Africa,"$23,000,000","$56,000,000",12/1/2001
3.9%,,88,Comoros,,,,"$220,115,655",2.8%,$11,,7.3%,0.0,12.0%,60,57,,1,41.4%,55.5%,3.1%,541976,28.0%,Africa,"$9,000,000",,12/1/2001
4.7%,,1566,"Congo, Dem. Rep.",,,17242,"$7,438,189,100",4.3%,$6,,11.4%,0.0,,48,45,0.0,1,46.4%,50.7%,2.8%,48167045,35.6%,Africa,,,12/1/2001
3.9%,,862,"Congo, Rep.",,,884,"$2,794,259,756",2.4%,$21,,7.5%,0.0,20.7%,54,51,0.0,1,41.9%,54.5%,3.6%,3205636,59.2%,Africa,"$22,600,000","$82,000,000",12/1/2001
3.8%,,7726,Cote d'Ivoire,,,6483,"$10,545,285,037",5.2%,$34,,9.8%,0.0,,47,46,0.0,1,42.1%,55.0%,2.9%,16420173,44.2%,Africa,"$58,000,000","$289,000,000",12/1/2001
3.0%,,385,Djibouti,,,,"$572,417,441",5.4%,$41,,7.8%,0.0,11.5%,59,56,0.0,1,40.7%,56.2%,3.1%,733732,76.6%,Africa,"$8,600,000","$12,900,000",12/1/2001
2.5%,,125452,"Egypt, Arab Rep.",,,45698,"$97,632,008,051",5.8%,$76,,3.4%,0.0,13.3%,71,66,0.0,1,34.8%,59.8%,5.4%,67204189,42.8%,Africa,"$4,119,000,000","$1,248,000,000",12/1/2001
3.9%,,3095,Equatorial Guinea,,,,"$1,461,139,008",1.5%,$50,,9.6%,0.0,20.7%,49,47,0.0,1,42.3%,54.1%,3.6%,534592,38.8%,Africa,"$14,000,000","$30,000,000",12/1/2001
4.0%,,631,Eritrea,,,742,"$752,368,494",3.9%,$7,,5.6%,0.0,,59,54,,1,46.2%,51.9%,1.9%,4101609,17.8%,Africa,"$74,000,000",,12/1/2001
4.3%,,4309,Ethiopia,,,26171,"$8,080,496,318",4.7%,$6,,8.7%,0.0,10.9%,54,52,0.0,1,46.6%,50.4%,3.1%,67956866,14.9%,Africa,"$218,000,000","$50,000,000",12/1/2001
3.4%,,1782,Gabon,,,1579,"$4,712,849,280",3.3%,$125,,5.5%,0.0,20.7%,61,58,0.1,1,40.4%,53.8%,5.8%,1255299,80.9%,Africa,"$46,000,000","$256,000,000",12/1/2001
4.5%,,282,"Gambia, The",,,,"$687,410,629",4.6%,$25,,6.2%,0.0,24.0%,57,54,0.0,1,45.9%,51.5%,2.7%,1266691,48.8%,Africa,,,12/1/2001
3.4%,,6920,Ghana,,,8045,"$5,314,871,684",5.6%,$15,,6.3%,0.0,,58,56,0.0,1,41.2%,55.7%,3.1%,19293392,44.6%,Africa,"$374,000,000","$165,000,000",12/1/2001
4.2%,,1298,Guinea,,,,"$2,833,442,750",5.9%,$19,,9.9%,0.0,,51,51,0.0,1,44.0%,52.6%,3.4%,8895353,31.4%,Africa,"$8,200,000","$26,000,000",12/1/2001
4.1%,,150,Guinea-Bissau,,,,"$384,270,400",5.0%,$15,,10.6%,0.0,,53,51,,1,43.4%,53.5%,3.1%,1301748,37.5%,Africa,"$2,700,000","$5,500,000",12/1/2001
3.9%,,9369,Kenya,,,14259,"$12,985,991,723",4.6%,$19,,6.8%,0.0,19.7%,54,52,0.0,1,43.8%,53.4%,2.8%,32126351,20.2%,Africa,"$536,000,000","$183,000,000",12/1/2001
3.1%,,,Lesotho,,,,"$706,430,933",7.5%,$28,,8.2%,0.0,16.6%,46,45,0.0,1,41.0%,54.5%,4.6%,1871500,20.1%,Africa,"$16,000,000","$166,000,000",12/1/2001
4.2%,,502,Liberia,,,,"$515,000,000",6.4%,$11,,11.2%,0.0,22.1%,53,52,0.0,1,43.2%,53.7%,3.1%,2998770,44.7%,Africa,,,12/1/2001
2.2%,,48100,Libya,,,16361,"$28,420,321,952",4.1%,$261,,2.4%,0.0,7.0%,74,71,0.0,1,32.6%,63.4%,4.0%,5258677,76.4%,Africa,"$90,000,000","$572,000,000",12/1/2001
4.0%,,1742,Madagascar,,,,"$4,529,575,233",5.0%,$14,,6.7%,0.0,25.3%,60,58,0.0,1,45.5%,51.6%,3.0%,16235767,27.4%,Africa,"$149,000,000","$179,000,000",12/1/2001
4.5%,,906,Malawi,,,,"$1,716,502,069",5.1%,$8,,9.7%,0.0,56.2%,46,46,0.0,1,46.0%,51.0%,3.0%,11623166,14.7%,Africa,"$40,000,000","$52,000,000",12/1/2001
4.8%,,546,Mali,,,,"$2,629,739,067",6.4%,$18,,11.3%,0.0,,49,50,0.0,1,46.1%,50.5%,3.4%,10562768,29.1%,Africa,"$91,000,000","$65,000,000",12/1/2001
3.8%,,1349,Mauritania,,,,"$1,295,536,829",4.8%,$19,,7.6%,0.0,22.5%,61,58,0.0,1,42.6%,54.3%,3.2%,2791403,50.0%,Africa,,,12/1/2001
1.6%,,2967,Mauritius,,,,"$4,536,544,699",3.8%,$147,,1.5%,0.1,21.1%,75,68,0.2,1,25.5%,68.3%,6.3%,1199881,42.5%,Africa,"$820,000,000","$216,000,000",12/1/2001
2.1%,,37715,Morocco,,,10894,"$37,724,674,865",4.4%,$58,,4.1%,0.0,13.3%,70,67,0.2,1,33.3%,61.9%,4.8%,29021156,53.7%,Africa,"$2,966,000,000","$589,000,000",12/1/2001
4.5%,,1580,Mozambique,,,7547,"$4,075,049,537",5.6%,$12,,10.9%,0.0,22.7%,49,46,0.0,1,44.0%,52.9%,3.2%,18785719,29.3%,Africa,"$64,000,000","$132,000,000",12/1/2001
3.1%,,2017,Namibia,,,1127,"$3,546,791,603",6.2%,$113,,4.9%,0.0,14.5%,56,52,0.1,1,40.3%,56.4%,3.3%,1931282,32.9%,Africa,"$264,000,000","$71,000,000",12/1/2001
5.3%,,759,Niger,,,,"$1,945,327,546",7.4%,$12,,9.8%,0.0,,51,51,0.0,1,48.1%,49.4%,2.5%,11396434,16.3%,Africa,"$30,000,000","$33,000,000",12/1/2001
4.3%,,83351,Nigeria,,,94633,"$44,138,014,092",4.8%,$18,,11.0%,0.0,23.4%,47,46,0.0,1,43.5%,53.8%,2.8%,126004992,35.7%,Africa,"$168,000,000","$858,000,000",12/1/2001
4.0%,,689,Rwanda,,,,"$1,674,685,126",4.4%,$8,,10.1%,0.0,17.3%,50,48,0.0,1,46.4%,50.7%,2.9%,8760003,15.8%,Africa,"$29,000,000","$33,000,000",12/1/2001
3.7%,,51,Sao Tome and Principe,,,,"$76,553,443",10.3%,$52,,5.6%,0.1,37.0%,65,62,,1,43.4%,52.6%,4.0%,141783,54.4%,Africa,"$6,200,000","$2,000,000",12/1/2001
4.0%,,4331,Senegal,,,2592,"$4,877,602,012",5.0%,$24,,6.7%,0.0,,60,57,0.0,1,44.9%,51.9%,3.2%,10119118,40.5%,Africa,"$175,000,000","$112,000,000",12/1/2001
1.8%,,642,Seychelles,,,,"$618,433,501",4.7%,$356,,1.2%,0.1,10.6%,,,0.5,1,27.5%,64.5%,8.0%,81202,50.3%,Africa,"$221,000,000","$41,000,000",12/1/2001
4.4%,,568,Sierra Leone,,,,"$1,079,478,388",16.0%,$40,,13.9%,0.0,24.3%,40,38,0.0,1,42.9%,54.7%,2.4%,4295667,35.9%,Africa,"$14,000,000","$42,000,000",12/1/2001
4.8%,,502,Somalia,,,,,,,,10.5%,0.0,,53,50,0.0,1,47.3%,49.7%,2.9%,7609265,33.6%,Africa,,,12/1/2001
2.4%,,362743,South Africa,,,112399,"$118,478,986,833",8.6%,$223,,5.3%,0.1,13.8%,57,53,0.2,1,32.5%,64.0%,3.6%,44909738,57.4%,Africa,"$3,256,000,000","$2,366,000,000",12/1/2001
4.2%,,,South Sudan,,,,,,,,10.5%,,,51,48,,1,44.6%,52.3%,3.1%,6924455,16.6%,Africa,,,12/1/2001
3.9%,,6370,Sudan,,,13988,"$13,182,872,555",3.5%,$16,,6.7%,0.0,,60,57,0.0,1,43.6%,53.4%,3.0%,28434810,32.5%,Africa,"$3,000,000","$74,000,000",12/1/2001
3.2%,,1144,Swaziland,,,,"$1,349,326,983",5.2%,$65,,8.1%,0.0,13.3%,48,47,0.1,1,44.0%,53.0%,3.0%,1074761,22.6%,Africa,"$23,000,000","$31,000,000",12/1/2001
